OrderAt Date,customer Name,outletType,Producer,Product,Category Group,Quantity, Unit Price ,shippingStatus,Delivery Agent,state,country,currency,salesChannel,sales price,sales price usd,order category,,ng,
7/1/2021 8:02,Thandabantu Tuck Shop Sinqobile,Kiosk,Unilever SA,Sunlight Laundry Detergent  ,Home Care,5, 45 ,delivered,Ismael Ishmael,Gauteng,ZA,ZAR,Mobile App, 225 ,15.28192935,low end,,,
7/1/2021 8:06,Black Jeans Tuck Shop,Convenience Store,Unilever SA,Sunlight Laundry Detergent  ,Home Care,1, 72 ,delivered,Kagiso Katlego,Gauteng,ZA,ZAR,Mobile App, 72 ,4.88451087,low end,,,
7/1/2021 8:06,Black Jeans Tuck Shop,Convenience Store,Unilever SA,Vaseline Petroleum Jelly  ,Personal Care,1, 141 ,delivered,Kagiso Katlego,Gauteng,ZA,ZAR,Mobile App, 141 ,9.590353261,low end,,,
7/1/2021 8:06,Black Jeans Tuck Shop,Convenience Store,Unilever SA,Knorr Soups  ,Food,1, 38 ,delivered,Kagiso Katlego,Gauteng,ZA,ZAR,Mobile App, 38 ,2.59375,low end,,,
7/1/2021 8:06,Omo Tuck Shop,Kiosk,Unilever SA,Lifebuoy Bath Soap  ,Personal Care,1, 50 ,delivered,Ismael Ishmael,Gauteng,ZA,ZAR,Mobile App, 50 ,3.41236413,low end,,,
7/1/2021 8:06,Omo Tuck Shop,Kiosk,Unilever SA,Sunlight Dishwashing Liquid  ,Home Care,2, 120 ,delivered,Ismael Ishmael,Gauteng,ZA,ZAR,Mobile App, 240 ,16.29755435,low end,,,
7/1/2021 8:18,Lucky Tuck Shop,Supermarket,Unilever SA,Sunlight Laundry Detergent  ,Home Care,1, 38 ,delivered,Kagiso Katlego,Gauteng,ZA,ZAR,Mobile App, 38 ,2.592391304,low end,,,
7/1/2021 8:18,Lucky Tuck Shop,Supermarket,Unilever SA,Knorr Soups  ,Food,2, 38 ,delivered,Kagiso Katlego,Gauteng,ZA,ZAR,Mobile App, 76 ,5.1875,low end,,,
7/1/2021 8:18,Lucky Tuck Shop,Supermarket,Unilever SA,Sunlight Laundry Detergent  ,Home Care,1, 72 ,delivered,Kagiso Katlego,Gauteng,ZA,ZAR,Mobile App, 72 ,4.88451087,low end,,,
7/1/2021 8:30,Ekasi,Convenience Store,Unilever SA,Knorrox Stock Cubes  ,Food,1, 69 ,delivered,Nomfundo Sibongile,Gauteng,ZA,ZAR,Mobile App, 69 ,4.71875,low end,,,
7/1/2021 8:30,Ekasi,Convenience Store,Unilever SA,Robertsons Spices  ,Food,1, 60 ,delivered,Nomfundo Sibongile,Gauteng,ZA,ZAR,Mobile App, 60 ,4.09375,low end,,,
7/1/2021 8:30,Ekasi,Convenience Store,Unilever SA,Knorr Soups  ,Food,1, 38 ,delivered,Nomfundo Sibongile,Gauteng,ZA,ZAR,Mobile App, 38 ,2.59375,low end,,,
7/1/2021 8:31,Tommys Tuck Shop,Convenience Store,Unilever SA,OMO  ,Home Care,1, 51 ,delivered,Nomfundo Sibongile,Gauteng,ZA,ZAR,Mobile App, 51 ,3.47826087,low end,,,
7/1/2021 8:31,Tommys Tuck Shop,Convenience Store,Unilever SA,Robertsons Spices  ,Food,1, 60 ,delivered,Nomfundo Sibongile,Gauteng,ZA,ZAR,Mobile App, 60 ,4.09375,low end,,,
7/1/2021 8:37,Royal Supermarket,Convenience Store,Unilever SA,Robertsons Spices  ,Food,1, 60 ,delivered,Kagiso Katlego,Gauteng,ZA,ZAR,Telesales, 60 ,4.09375,low end,,,
7/1/2021 8:45,Onyii Don Store,Convenience Store,Guinness Nigeria Plc,Orijin Bitters,Wine & Spirits,20," 5,300 ",delivered,"Adewale 	 Mustapha",Lagos,NG,NGN,Telesales," 106,000 ",263.681592,low end,,,
7/1/2021 8:52,Diamond Stores,Supermarket,PZ Cussons Nigeria Plc,Joy Toilet Bar Soap,Personal Care,1," 8,690 ",delivered,Ibrahim Bello,Ogun,NG,NGN,Telesales," 8,690 ",21.61691542,low end,,,
7/1/2021 8:52,Diamond Stores,Supermarket,Unilever Nigeria Plc,Pepsodent,Personal Care,1," 17,500 ",delivered,Ibrahim Bello,Ogun,NG,NGN,Telesales," 17,500 ",43.53233831,low end,,,
7/1/2021 8:56,Happy Supermarket,Kiosk,Unilever SA,Knorr Soups  ,Food,1, 38 ,cancelled,Kagiso Katlego,Gauteng,ZA,ZAR,Mobile App, 38 ,2.59375,low end,,,
7/1/2021 8:56,Happy Supermarket,Kiosk,Unilever SA,Knorr Soups  ,Food,1, 38 ,cancelled,Kagiso Katlego,Gauteng,ZA,ZAR,Mobile App, 38 ,2.59375,low end,,,
7/1/2021 8:56,Happy Supermarket,Kiosk,Unilever SA,Knorr Soups  ,Food,2, 38 ,cancelled,Kagiso Katlego,Gauteng,ZA,ZAR,Mobile App, 76 ,5.1875,low end,,,
7/1/2021 9:03,Abdullahi Stores,Convenience Store,Unilever Nigeria Plc,Close up,Personal Care,1," 4,900 ",delivered,Ibrahim Bello,Ogun,NG,NGN,Telesales," 4,900 ",12.18905473,low end,,,
7/1/2021 9:05,Anselm Store,Convenience Store,DUFIL Prima foods Plc,Indomie Hungryman,Food,1," 4,100 ",delivered,"Ayodeji Lateef 	 Adebowale",Lagos,NG,NGN,Telesales," 4,100 ",10.19900498,low end,,,
7/1/2021 9:05,Anselm Store,Convenience Store,PZ Cussons Nigeria Plc,Joy Toilet Bar Soap,Personal Care,1," 8,690 ",delivered,"Ayodeji Lateef 	 Adebowale",Lagos,NG,NGN,Telesales," 8,690 ",21.61691542,low end,,,
7/1/2021 9:05,Anselm Store,Convenience Store,PZ Cussons Nigeria Plc,Premier Toilet Bar Soap,Personal Care,1," 7,210 ",delivered,"Ayodeji Lateef 	 Adebowale",Lagos,NG,NGN,Telesales," 7,210 ",17.93532338,low end,,,
7/1/2021 9:05,Rima General Dealer,Convenience Store,Unilever SA,OMO  ,Home Care,9, 27 ,delivered,Kagiso Katlego,Gauteng,ZA,ZAR,Telesales, 247 ,16.78940217,low end,,,
7/1/2021 9:09,Than-All Store,Convenience Store,Hayat Kimya Nigeria Limited,Molfix Small,Baby,1," 4,660 ",delivered,Tayo Fasakin,Lagos,NG,NGN,Telesales," 4,660 ",11.5920398,low end,,,
7/1/2021 9:09,Than-All Store,Convenience Store,Nasco,Nasco Biscuit,Breakfast & Snacks ,1," 1,535 ",delivered,Tayo Fasakin,Lagos,NG,NGN,Telesales," 1,535 ",3.81840796,low end,,,
7/1/2021 9:10,Ali And Noorjeham  Supermarket,Convenience Store,Unilever SA,Sunlight Laundry Detergent  ,Home Care,1, 72 ,cancelled,Kagiso Katlego,Gauteng,ZA,ZAR,Mobile App, 72 ,4.88451087,low end,,,
7/1/2021 9:10,Ali And Noorjeham  Supermarket,Convenience Store,Unilever SA,Sunlight Bath Soap  ,Personal Care,1, 42 ,cancelled,Kagiso Katlego,Gauteng,ZA,ZAR,Mobile App, 42 ,2.845108696,low end,,,
7/1/2021 9:10,Horn Of Africa Blessing Supermarket,Supermarket,Unilever SA,Lifebuoy Bath Soap  ,Personal Care,1, 50 ,delivered,Nomfundo Sibongile,Gauteng,ZA,ZAR,Mobile App, 50 ,3.41236413,low end,,,
7/1/2021 9:10,Horn Of Africa Blessing Supermarket,Supermarket,Unilever SA,Robertsons Spices  ,Food,1, 60 ,delivered,Nomfundo Sibongile,Gauteng,ZA,ZAR,Mobile App, 60 ,4.09375,low end,,,
7/1/2021 9:10,Horn Of Africa Blessing Supermarket,Supermarket,Unilever SA,Surf Detergent  ,Home Care,1, 47 ,delivered,Nomfundo Sibongile,Gauteng,ZA,ZAR,Mobile App, 47 ,3.220108696,low end,,,
7/1/2021 9:10,Horn Of Africa Blessing Supermarket,Supermarket,Unilever SA,Knorr Soups  ,Food,2, 38 ,delivered,Nomfundo Sibongile,Gauteng,ZA,ZAR,Mobile App, 76 ,5.1875,low end,,,
7/1/2021 9:17,Busy Corner Tuckshop,Supermarket,Unilever SA,OMO  ,Home Care,1, 51 ,delivered,Kagiso Katlego,Gauteng,ZA,ZAR,Mobile App, 51 ,3.47826087,low end,,,
7/1/2021 9:17,Busy Corner Tuckshop,Supermarket,Unilever SA,Sunlight Laundry Detergent  ,Home Care,1, 47 ,delivered,Kagiso Katlego,Gauteng,ZA,ZAR,Mobile App, 47 ,3.22486413,low end,,,
7/1/2021 9:17,Busy Corner Tuckshop,Supermarket,Unilever SA,Knorr Aromat Seasoning  ,Food,1, 106 ,delivered,Kagiso Katlego,Gauteng,ZA,ZAR,Mobile App, 106 ,7.234375,low end,,,
7/1/2021 9:20,Polokwane Supermarket,Supermarket,Unilever SA,Surf Detergent  ,Home Care,1, 47 ,delivered,Kagiso Katlego,Gauteng,ZA,ZAR,Telesales, 47 ,3.220108696,low end,,,
7/1/2021 9:20,Polokwane Supermarket,Supermarket,Unilever SA,Sunlight Laundry Detergent  ,Home Care,1, 47 ,delivered,Kagiso Katlego,Gauteng,ZA,ZAR,Telesales, 47 ,3.22486413,low end,,,
7/1/2021 9:20,Polokwane Supermarket,Supermarket,Unilever SA,Sunlight Laundry Detergent  ,Home Care,1, 89 ,delivered,Kagiso Katlego,Gauteng,ZA,ZAR,Telesales, 89 ,6.070652174,low end,,,
7/1/2021 9:25,Alhaja Salami Stores,Supermarket,Unilever Nigeria Plc,Close up,Personal Care,3," 4,900 ",delivered,Stevenson Udeye-Ubah,Lagos,NG,NGN,Telesales," 14,700 ",36.56716418,low end,,,
7/1/2021 9:25,Good Price Tuck Shop,Kiosk,Unilever SA,Knorr Soups  ,Food,2, 38 ,delivered,Kagiso Katlego,Gauteng,ZA,ZAR,Mobile App, 76 ,5.1875,low end,,,
7/1/2021 9:27,Supet Tuck Shop,Convenience Store,Unilever SA,Sunlight Dishwashing Liquid  ,Home Care,1, 120 ,delivered,Nomfundo Sibongile,Gauteng,ZA,ZAR,Mobile App, 120 ,8.148777174,low end,,,
7/1/2021 9:27,Supet Tuck Shop,Convenience Store,Unilever SA,Robertsons Rajah Spices  ,Food,1, 60 ,delivered,Nomfundo Sibongile,Gauteng,ZA,ZAR,Mobile App, 60 ,4.09375,low end,,,
7/1/2021 9:31,Mum Lola Stores,Kiosk,PZ Cussons Nigeria Plc,Premier Toilet Bar Soap,Personal Care,1," 7,210 ",delivered,Ayantoye Adeboye,Ogun,NG,NGN,Telesales," 7,210 ",17.93532338,low end,,,
7/1/2021 9:32,Kemisola Store,Supermarket,Guinness Nigeria Plc,Orijin Bitters,Wine & Spirits,1," 5,300 ",delivered,Cyril Amedu,Lagos,NG,NGN,Telesales," 5,300 ",13.1840796,low end,,,
7/1/2021 9:32,Kemisola Store,Supermarket,Guinness Nigeria Plc,Orijin Bitters,Wine & Spirits,1," 6,300 ",delivered,Cyril Amedu,Lagos,NG,NGN,Telesales," 6,300 ",15.67164179,low end,,,
7/1/2021 9:33,Salem Tuck Shop,Kiosk,Unilever SA,OMO  ,Home Care,1, 51 ,delivered,Ismael Ishmael,Gauteng,ZA,ZAR,Telesales, 51 ,3.47826087,low end,,,
7/1/2021 9:33,Salem Tuck Shop,Kiosk,Unilever SA,OMO  ,Home Care,2, 43 ,delivered,Ismael Ishmael,Gauteng,ZA,ZAR,Telesales, 85 ,5.774456522,low end,,,
7/1/2021 9:33,Salem Tuck Shop,Kiosk,Unilever SA,Sunlight Laundry Detergent  ,Home Care,3, 24 ,delivered,Ismael Ishmael,Gauteng,ZA,ZAR,Telesales, 72 ,4.889266304,low end,,,
7/1/2021 9:33,Salem Tuck Shop,Kiosk,Unilever SA,Surf Detergent  ,Home Care,1, 47 ,delivered,Ismael Ishmael,Gauteng,ZA,ZAR,Telesales, 47 ,3.220108696,low end,,,
7/1/2021 9:33,Salem Tuck Shop,Kiosk,Unilever SA,Surf Detergent  ,Home Care,3, 20 ,delivered,Ismael Ishmael,Gauteng,ZA,ZAR,Telesales, 60 ,4.074048913,low end,,,
7/1/2021 9:40,Blue Container,Convenience Store,Unilever SA,Knorr Soups  ,Food,1, 38 ,delivered,Nomfundo Sibongile,Gauteng,ZA,ZAR,Mobile App, 38 ,2.59375,low end,,,
7/1/2021 9:40,Blue Container,Convenience Store,Unilever SA,Sunlight Laundry Detergent  ,Home Care,1, 45 ,delivered,Nomfundo Sibongile,Gauteng,ZA,ZAR,Mobile App, 45 ,3.05638587,low end,,,
7/1/2021 9:40,Blue Container,Convenience Store,Unilever SA,Knorr Soups  ,Food,1, 38 ,delivered,Nomfundo Sibongile,Gauteng,ZA,ZAR,Mobile App, 38 ,2.59375,low end,,,
7/1/2021 9:41,Eminence Stores,Kiosk,Guinness Nigeria Plc,Orijin Bitters,Wine & Spirits,3," 6,300 ",delivered,Ibrahim Bello,Ogun,NG,NGN,Telesales," 18,900 ",47.01492537,low end,,,
7/1/2021 9:45,Green Container,Supermarket,Unilever SA,Sunlight Laundry Detergent  ,Home Care,5, 39 ,delivered,Ismael Ishmael,Gauteng,ZA,ZAR,Telesales, 195 ,13.24388587,low end,,,
7/1/2021 9:45,Green Container,Supermarket,Unilever SA,Sunlight Laundry Detergent  ,Home Care,3, 47 ,delivered,Ismael Ishmael,Gauteng,ZA,ZAR,Telesales, 142 ,9.674592391,low end,,,
7/1/2021 9:45,Green Container,Supermarket,Unilever SA,OMO  ,Home Care,3, 51 ,delivered,Ismael Ishmael,Gauteng,ZA,ZAR,Telesales, 154 ,10.43478261,low end,,,
7/1/2021 9:45,Green Container,Supermarket,Unilever SA,Sunlight Laundry Detergent  ,Home Care,5, 38 ,delivered,Ismael Ishmael,Gauteng,ZA,ZAR,Telesales, 191 ,12.96195652,low end,,,
7/1/2021 9:45,Walala Wasala Supermarket,Convenience Store,Unilever SA,Domestos Toilet Cleaner  ,Home Care,1, 84 ,cancelled,Nomfundo Sibongile,Gauteng,ZA,ZAR,Mobile App, 84 ,5.704483696,low end,,,
7/1/2021 9:45,Walala Wasala Supermarket,Convenience Store,Unilever SA,Handy Andy Cleaning Cream  ,Home Care,1, 67 ,cancelled,Nomfundo Sibongile,Gauteng,ZA,ZAR,Mobile App, 67 ,4.574048913,low end,,,
7/1/2021 9:46,Bafanabafana Supermarket,Convenience Store,Unilever SA,Sunlight Dishwashing Liquid  ,Home Care,1, 84 ,delivered,Ismael Ishmael,Gauteng,ZA,ZAR,Mobile App, 84 ,5.68138587,low end,,,
7/1/2021 9:46,Bafanabafana Supermarket,Convenience Store,Unilever SA,Knorr Soups  ,Food,1, 38 ,delivered,Ismael Ishmael,Gauteng,ZA,ZAR,Mobile App, 38 ,2.59375,low end,,,
7/1/2021 9:47,Corner Spaza,Supermarket,Unilever SA,Robertsons Spices  ,Food,1, 60 ,delivered,Nomfundo Sibongile,Gauteng,ZA,ZAR,Mobile App, 60 ,4.09375,low end,,,
7/1/2021 9:47,Corner Spaza,Supermarket,Unilever SA,Knorr Soups  ,Food,1, 38 ,delivered,Nomfundo Sibongile,Gauteng,ZA,ZAR,Mobile App, 38 ,2.59375,low end,,,
7/1/2021 9:47,Corner Spaza,Supermarket,Unilever SA,Lifebuoy Bath Soap  ,Personal Care,1, 50 ,delivered,Nomfundo Sibongile,Gauteng,ZA,ZAR,Mobile App, 50 ,3.41236413,low end,,,
7/1/2021 9:52,Mrs. Olowu Store,Convenience Store,Extreme Manufacturing Nig Ltd,So Easy,Home Care,5," 2,500 ",delivered,Stevenson Udeye-Ubah,Lagos,NG,NGN,Telesales," 12,500 ",31.09452736,low end,,,
7/1/2021 9:52,Mrs. Olowu Store,Convenience Store,Hayat Kimya Nigeria Limited,Molfix Small,Baby,1," 4,660 ",delivered,Stevenson Udeye-Ubah,Lagos,NG,NGN,Telesales," 4,660 ",11.5920398,low end,,,
7/1/2021 9:55,Mummy Opeyemi Store,Convenience Store,Chi Nigeria Limited,Hollandia Yoghurt,Breakfast & Snacks ,3," 1,100 ",delivered,"Adeleye 	 Dayo",Lagos,NG,NGN,Telesales," 3,300 ",8.208955224,low end,,,
7/1/2021 9:55,Mummy Opeyemi Store,Convenience Store,Hayat Kimya Nigeria Limited,Molfix Jumbo,Baby,2," 13,030 ",delivered,"Adeleye 	 Dayo",Lagos,NG,NGN,Telesales," 26,060 ",64.82587065,low end,,,
7/1/2021 9:59,Captain Tuck Shop,Kiosk,Unilever SA,OMO  ,Home Care,1, 51 ,delivered,Ismael Ishmael,Gauteng,ZA,ZAR,Telesales, 51 ,3.47826087,low end,,,
7/1/2021 9:59,Captain Tuck Shop,Kiosk,Unilever SA,Robertsons Rajah Spices  ,Food,1, 60 ,delivered,Ismael Ishmael,Gauteng,ZA,ZAR,Telesales, 60 ,4.09375,low end,,,
7/1/2021 9:59,Captain Tuck Shop,Kiosk,Unilever SA,Knorr Soups  ,Food,1, 38 ,delivered,Ismael Ishmael,Gauteng,ZA,ZAR,Telesales, 38 ,2.59375,low end,,,
7/1/2021 9:59,Captain Tuck Shop,Kiosk,Unilever SA,Knorr Soups  ,Food,1, 38 ,delivered,Ismael Ishmael,Gauteng,ZA,ZAR,Telesales, 38 ,2.59375,low end,,,
7/1/2021 10:00,Sam Sam Mini Market,Kiosk,Unilever SA,Knorr Soups  ,Food,1, 38 ,cancelled,Ismael Ishmael,Gauteng,ZA,ZAR,Mobile App, 38 ,2.59375,low end,,,
7/1/2021 10:00,Sam Sam Mini Market,Kiosk,Unilever SA,Handy Andy Cleaning Cream  ,Home Care,1, 67 ,cancelled,Ismael Ishmael,Gauteng,ZA,ZAR,Mobile App, 67 ,4.574048913,low end,,,
7/1/2021 10:00,Sam Sam Mini Market,Kiosk,Unilever SA,Robertsons Spices  ,Food,1, 60 ,cancelled,Ismael Ishmael,Gauteng,ZA,ZAR,Mobile App, 60 ,4.09375,low end,,,
7/1/2021 10:00,Simunye Supermarket,Supermarket,Unilever SA,Joko Tea  ,Breakfast & Snacks ,1, 97 ,delivered,Nomfundo Sibongile,Gauteng,ZA,ZAR,Telesales, 97 ,6.570652174,low end,,,
7/1/2021 10:00,Simunye Supermarket,Supermarket,Unilever SA,Knorr Soups  ,Food,2, 38 ,delivered,Nomfundo Sibongile,Gauteng,ZA,ZAR,Telesales, 76 ,5.1875,low end,,,
7/1/2021 10:04,Villa Hostel Tuck Shop,Supermarket,Unilever SA,Knorr Soups  ,Food,1, 38 ,delivered,Kagiso Katlego,Gauteng,ZA,ZAR,Mobile App, 38 ,2.59375,low end,,,
7/1/2021 10:04,Villa Hostel Tuck Shop,Supermarket,Unilever SA,Sunlight Laundry Detergent  ,Home Care,1, 47 ,delivered,Kagiso Katlego,Gauteng,ZA,ZAR,Mobile App, 47 ,3.22486413,low end,,,
7/1/2021 10:04,Lartot Supermarket,Kiosk,Unilever SA,Lifebuoy Bath Soap  ,Personal Care,1, 50 ,delivered,Kagiso Katlego,Gauteng,ZA,ZAR,Telesales, 50 ,3.41236413,low end,,,
7/1/2021 10:04,Lartot Supermarket,Kiosk,Unilever SA,Knorr Soups  ,Food,2, 38 ,delivered,Kagiso Katlego,Gauteng,ZA,ZAR,Telesales, 76 ,5.1875,low end,,,
7/1/2021 10:04,Lartot Supermarket,Kiosk,Unilever SA,Lux  ,Personal Care,1, 51 ,delivered,Kagiso Katlego,Gauteng,ZA,ZAR,Telesales, 51 ,3.449728261,low end,,,
7/1/2021 10:10,Oluwanifemi,Supermarket,Guinness Nigeria Plc,Orijin Bitters,Wine & Spirits,1," 5,300 ",cancelled,Muyiwa Sodiya,Lagos,NG,NGN,Telesales," 5,300 ",13.1840796,low end,,,
7/1/2021 10:10,Oluwanifemi,Supermarket,Guinness Nigeria Plc,Smirnoff Ice,Drinks,1," 5,620 ",cancelled,Muyiwa Sodiya,Lagos,NG,NGN,Telesales," 5,620 ",13.9800995,low end,,,
7/1/2021 10:10,Oluwanifemi,Supermarket,Guinness Nigeria Plc,Orijin Bitters,Wine & Spirits,1," 6,300 ",cancelled,Muyiwa Sodiya,Lagos,NG,NGN,Telesales," 6,300 ",15.67164179,low end,,,
7/1/2021 10:10,Oluwanifemi,Supermarket,PZ Cussons Nigeria Plc,Canoe Bar Soap,Home Care,1," 4,600 ",cancelled,Muyiwa Sodiya,Lagos,NG,NGN,Telesales," 4,600 ",11.44278607,low end,,,
7/1/2021 10:13,Oge Ken Store,Kiosk,Extreme Manufacturing Nig Ltd,So Easy,Home Care,2," 2,500 ",delivered,Sulaimon  Omobolaji Akanni,Lagos,NG,NGN,Telesales," 5,000 ",12.43781095,low end,,,
7/1/2021 10:13,Teddy Tuck Shop,Kiosk,Unilever SA,Sunlight Laundry Detergent  ,Home Care,1, 47 ,delivered,Nomfundo Sibongile,Gauteng,ZA,ZAR,Mobile App, 47 ,3.22486413,low end,,,
7/1/2021 10:13,Teddy Tuck Shop,Kiosk,Unilever SA,Knorr Soups  ,Food,1, 38 ,delivered,Nomfundo Sibongile,Gauteng,ZA,ZAR,Mobile App, 38 ,2.59375,low end,,,
7/1/2021 10:20,Jumond Stores,Convenience Store,Chi Nigeria Limited,Chivita Premium,Drinks,10," 4,800 ",delivered,Saheed  Olugbenga-Rufus,Lagos,NG,NGN,Telesales," 48,000 ",119.4029851,low end,,,
7/1/2021 10:28,Brothers Tuck Shop,Kiosk,Unilever SA,Sunlight Dishwashing Liquid  ,Home Care,1, 84 ,delivered,Nomfundo Sibongile,Gauteng,ZA,ZAR,Mobile App, 84 ,5.68138587,low end,,,
7/1/2021 10:28,Brothers Tuck Shop,Kiosk,Unilever SA,Lux  ,Personal Care,1, 51 ,delivered,Nomfundo Sibongile,Gauteng,ZA,ZAR,Mobile App, 51 ,3.449728261,low end,,,
7/1/2021 10:31,Cornershop,Convenience Store,Unilever SA,Robertsons Rajah Spices  ,Food,1, 60 ,delivered,Nomfundo Sibongile,Gauteng,ZA,ZAR,Mobile App, 60 ,4.09375,low end,,,
7/1/2021 10:31,Cornershop,Convenience Store,Unilever SA,Knorr Soups  ,Food,2, 38 ,delivered,Nomfundo Sibongile,Gauteng,ZA,ZAR,Mobile App, 76 ,5.1875,low end,,,
7/1/2021 10:31,Cornershop,Convenience Store,Unilever SA,Knorr Soups  ,Food,2, 38 ,delivered,Nomfundo Sibongile,Gauteng,ZA,ZAR,Mobile App, 76 ,5.1875,low end,,,
7/1/2021 10:34,Oluwanisola Store; Arepo,Supermarket,PZ Cussons Nigeria Plc,Premier Toilet Bar Soap,Personal Care,3," 4,600 ",delivered,Olalekan Oluwaseyi,Ogun,NG,NGN,Field Sales," 13,800 ",34.32835821,low end,,,
